Step Length(cm),Stride Length(cm),Step time(sec),Stride time(sec),Cadence(steps/min),Velocity(m/s)
42,83.1,0.334,0.668,90,1
21,41.67,0.492,0.983,61,0.424
41.9,83.8,0.338,0.676,89,1
24.5,49,0.393,0.787,76,0.623
21.33,42.67,0.367,0.733,82,0.582
45.6,91.25,0.422,0.883,68,1.033
31.5,63,0.43,0.86,70,0.73
55.125,110.25,0.455,0.97,65.934,1.212
72,144,0.48,0.96,62.5,1.5
74,147.83,0.177,0.353,170,4
21,41.5,0.345,0.69,87,0.601
75,149.67,0.373,0.747,80,2
65.5,131,0.465,0.93,65,1
66.33,132.67,0.25,0.5,120,3
18.3,36.6,0.472,0.944,64,0.388
41,82.23,0.474,0.949,63,0.867
17,34.31,0.341,0.682,88,0.503
25.1,50.2,0.348,0.696,86,0.721
18,35.77,0.375,0.751,80,0.476
58,115.33,0.33,0.66,91,2
49,98,0.312,0.625,96,2
21,42.5,0.65,1.3,46,0.327
26.33,52.67,0.367,0.733,82,0.718
28,56.33,0.413,0.827,76,0.681
16.4,32.8,0.328,0.656,91.463,0.5
19.25,38.5,0.375,0.75,80,0.513
32.25,64.5,0.315,0.63,95.31,1.025
13.345,26.69,0.432,0.865,69.989,0.309
93.896,187.79,0.298,0.597,100.559,3.147
16.9,33.8,0.324,0.648,92.593,0.522
18.7,37.4,0.464,0.928,64.655,0.403
14.167,28.33,0.397,0.795,75.503,0.357
